TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-05,2024-02-05,CM,BSE,STK,537536,INE051G01012,DENISCHEM,X,,,,,DENIS CHEM LAB LTD,145.00,149.00,134.20,137.35,137.35,143.50,,137.35,,,36831,5223055.00,441,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537573,INE826P01018,POLYMAC,M,,,,,POLYMAC THERMOFORMERS LTD,41.50,42.00,36.50,39.00,39.00,39.90,,39.00,,,17600,697912.00,18,F1,800,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537582,INE210P01015,UNISHIRE,MT,,,,,UNISHIRE URBAN INFRA LTD,4.71,4.75,4.66,4.66,4.66,4.90,,4.66,,,120000,560600.00,11,F1,10000,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537707,INE546I01017,ETT,X,,,,,ETT LTD,22.48,22.48,20.50,21.83,21.99,22.05,,21.83,,,74346,1638018.00,420,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537708,INF174K014P6,KOTAKNIFTY,B,,,,,KOTAK MAHINDRA MUTUAL FUND - K,232.55,237.00,232.55,234.56,234.56,235.02,,234.09,,,3375,793216.00,59,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537709,INE101H01013,HANSUGAR,X,,,,,SHREE HANUMAN SUGAR & INDUSTRI,7.05,7.05,6.76,6.83,6.84,6.79,,6.83,,,89446,613963.00,495,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537750,INE555P01013,KIRANVYPAR,X,,,,,KIRAN VYAPAR LTD,184.00,188.00,174.20,176.60,176.60,181.10,,176.60,,,62254,11249404.00,287,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537766,INE905P01028,BCP,XT,,,,,B.C. POWER CONTROLS LTD,6.05,6.38,6.05,6.36,6.30,6.08,,6.36,,,875211,5516498.00,1115,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537785,INE084Q01012,RACE,B,,,,,RACE ECO CHAIN LIMITED,359.45,363.50,355.00,361.85,360.00,361.20,,359.55,,,1944,701133.00,167,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537800,INE717C01025,MANGIND,XT,,,,,MANGALAM INDUSTRIAL FINANCE LT,6.63,6.67,6.14,6.42,6.42,6.46,,6.42,,,8000633,51888081.00,8545,F1,1,,,,,
