Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01012025,782413376,0002609
Trade Date <01-JAN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2078,SEPC,EQ,9653478,2481518,25.71
20,2079,SEQUENT,EQ,257379,174599,67.84
20,2080,SERVICE,SM,10000,10000,100.00
20,2081,SERVOTECH,EQ,452959,222024,49.02
20,2082,SESHAPAPER,EQ,41122,11679,28.40
20,2083,SETF10GILT,EQ,6114,4570,74.75
20,2084,SETFGOLD,EQ,1095460,889700,81.22
20,2085,SETFNIF50,EQ,250409,186898,74.64
20,2086,SETFNIFBK,EQ,22628,13737,60.71
20,2087,SETFNN50,EQ,39160,25258,64.50
20,2088,SFL,EQ,148797,61276,41.18
20,2089,SFLZC25A,ZK,3,3,100.00
20,2090,SFML,ST,536000,484800,90.45
20,2091,SGBAPR28I,GB,91,86,94.51
20,2092,SGBAUG27,GB,81,68,83.95
20,2093,SGBAUG28V,GB,1385,1050,75.81
20,2094,SGBAUG29V,GB,151,114,75.50
20,2095,SGBAUG30,GB,107,74,69.16
20,2096,SGBD29VIII,GB,178,110,61.80
20,2097,SGBDC27VII,GB,17,17,100.00
20,2098,SGBDE30III,GB,285,240,84.21
20,2099,SGBDE31III,GB,502,392,78.09
20,2100,SGBDEC2512,GB,1,1,100.00
20,2101,SGBFEB27,GB,8,4,50.00
20,2102,SGBFEB29XI,GB,194,194,100.00
20,2103,SGBFEB32IV,GB,1297,971,74.87
20,2104,SGBJ28VIII,GB,13,13,100.00
20,2105,SGBJAN27,GB,3,3,100.00
20,2106,SGBJAN29IX,GB,319,298,93.42
20,2107,SGBJAN29X,GB,38,38,100.00
20,2108,SGBJAN30IX,GB,87,85,97.70
20,2109,SGBJU29III,GB,103,100,97.09
20,2110,SGBJUL25,GB,8,8,100.00
20,2111,SGBJUL28IV,GB,223,161,72.20
20,2112,SGBJUL29IV,GB,51,42,82.35
20,2113,SGBJUN27,GB,18,15,83.33
20,2114,SGBJUN28,GB,205,155,75.61
20,2115,SGBJUN29II,GB,92,62,67.39
20,2116,SGBJUN30,GB,119,109,91.60
20,2117,SGBJUN31I,GB,218,157,72.02
20,2118,SGBMAR25,GB,1,1,100.00
20,2119,SGBMAR28X,GB,28,28,100.00
20,2120,SGBMAR30X,GB,17,15,88.24
20,2121,SGBMAR31IV,GB,276,201,72.83
20,2122,SGBMAY25,GB,47,47,100.00
20,2123,SGBMAY26,GB,2,2,100.00
20,2124,SGBMAY28,GB,633,521,82.31
20,2125,SGBMAY29I,GB,152,125,82.24
20,2126,SGBMR29XII,GB,214,179,83.64
20,2127,SGBN28VIII,GB,114,84,73.68
20,2128,SGBNOV25,GB,5,4,80.00
20,2129,SGBNOV25IX,GB,18,10,55.56
20,2130,SGBNOV26,GB,1,1,100.00
20,2131,SGBNV29VII,GB,134,74,55.22
20,2132,SGBOC28VII,GB,23,17,73.91
20,2133,SGBOCT25,GB,19,17,89.47
20,2134,SGBOCT25IV,GB,89,74,83.15
20,2135,SGBOCT25V,GB,24,24,100.00
20,2136,SGBOCT26,GB,3,3,100.00
20,2137,SGBOCT27,GB,93,92,98.92
20,2138,SGBOCT27VI,GB,17,17,100.00
20,2139,SGBSEP28VI,GB,221,221,100.00
20,2140,SGBSEP29VI,GB,84,54,64.29
20,2141,SGBSEP31II,GB,1167,1049,89.89
20,2142,SGL,EQ,40540,17717,43.70
20,2143,SHAH,EQ,277013,198963,71.82
20,2144,SHAKTIPUMP,EQ,526656,304905,57.89
20,2145,SHALBY,EQ,114765,67336,58.67
20,2146,SHALPAINTS,EQ,47306,19227,40.64
20,2147,SHANKARA,EQ,68833,45125,65.56
20,2148,SHANTHALA,ST,14400,10800,75.00
20,2149,SHANTI,EQ,310158,220110,70.97
20,2150,SHANTIGEAR,EQ,7033,4507,64.08
20,2151,SHARDACROP,EQ,114112,43245,37.90
20,2152,SHARDAMOTR,EQ,12743,6076,47.68
20,2153,SHAREINDIA,EQ,1129800,377102,33.38
20,2154,SHARIABEES,EQ,2153,1270,58.99
20,2155,SHEETAL,SM,32000,22000,68.75
20,2156,SHEMAROO,EQ,13339,7103,53.25
20,2157,SHERA,SM,164000,65000,39.63
20,2158,SHIGAN,SM,1500,1500,100.00
20,2159,SHILPAMED,EQ,185623,77034,41.50
20,2160,SHIVALIK,EQ,70480,51679,73.32
20,2161,SHIVAMAUTO,EQ,105856,52435,49.53
20,2162,SHIVAMILLS,EQ,13123,4917,37.47
20,2163,SHIVATEX,EQ,7168,1547,21.58
20,2164,SHK,EQ,556613,135134,24.28
20,2165,SHOPERSTOP,EQ,26512,15805,59.61
20,2166,SHREDIGCEM,EQ,141682,52784,37.26
20,2167,SHREECEM,EQ,16145,4450,27.56
20,2168,SHREEKARNI,SM,8250,7500,90.91
20,2169,SHREEOSFM,SM,43000,35000,81.40
20,2170,SHREEPUSHK,EQ,36426,12026,33.01
20,2171,SHRENIK,EQ,1164293,845196,72.59
20,2172,SHREYANIND,EQ,16968,9853,58.07
20,2173,SHRIPISTON,EQ,31488,11934,37.90
20,2174,SHRIRAMFIN,EQ,259435,84829,32.70
20,2175,SHRIRAMPPS,EQ,600783,216688,36.07
20,2176,SHRITECH,SM,54000,44000,81.48
20,2177,SHUBHLAXMI,ST,41000,40000,97.56
20,2178,SHUBHSHREE,ST,7200,7200,100.00
20,2179,SHYAMCENT,EQ,127818,80629,63.08
20,2180,SHYAMMETL,EQ,217284,115442,53.13
20,2181,SIDDHIKA,SM,6000,6000,100.00
20,2182,SIEMENS,EQ,233030,115726,49.66
20,2183,SIGACHI,EQ,1617676,329931,20.40
20,2184,SIGIND,EQ,20682,12500,60.44
20,2185,SIGMA,EQ,7947,3855,48.51
20,2186,SIGNATURE,EQ,553976,15406,2.78
20,2187,SIKKO,EQ,158054,34779,22.00
20,2188,SIL,EQ,17761,10454,58.86
20,2189,SILGO,EQ,25263,10872,43.04
20,2190,SILKFLEX,ST,10000,10000,100.00
20,2191,SILLYMONKS,EQ,18285,12830,70.17
20,2192,SILVER,EQ,180887,172620,95.43
20,2193,SILVER1,EQ,25833,24100,93.29
20,2194,SILVERADD,EQ,17463,14564,83.40
20,2195,SILVERBEES,EQ,3201447,2702199,84.41
20,2196,SILVERETF,EQ,87707,82950,94.58
20,2197,SILVERIETF,EQ,1168690,1068638,91.44
20,2198,SILVERTUC,EQ,30573,11096,36.29
20,2199,SILVRETF,EQ,15836,15036,94.95
20,2200,SINCLAIR,EQ,1117350,459394,41.11
20,2201,SINDHUTRAD,EQ,237501,114305,48.13
20,2202,SINTERCOM,EQ,5142,2144,41.70
20,2203,SIRCA,EQ,54279,26869,49.50
20,2204,SIS,EQ,13597,6989,51.40
20,2205,SIYSIL,EQ,152220,49564,32.56
20,2206,SJLOGISTIC,ST,38250,35500,92.81
20,2207,SJS,EQ,196384,81394,41.45
20,2208,SJVN,EQ,70715703,5375688,7.60
20,2209,SKFINDIA,EQ,6708,3535,52.70
20,2210,SKIPPER,EQ,706967,281079,39.76
20,2211,SKMEGGPROD,EQ,49435,24897,50.36
20,2212,SKP,SM,12000,8500,70.83
20,2213,SLONE,ST,5600,5600,100.00
20,2214,SMALLCAP,EQ,458489,431405,94.09
20,2215,SMCGLOBAL,EQ,55368,30972,55.94
20,2216,SMLISUZU,EQ,63780,13327,20.90
20,2217,SMLT,EQ,31850,17400,54.63
20,2218,SMSPHARMA,EQ,360834,111738,30.97
20,2219,SMVD,SM,8080,8080,100.00
20,2220,SNOWMAN,EQ,234837,98108,41.78
20,2221,SOBHA,EQ,40749,13958,34.25
20,2222,SOLARA,EQ,217911,128835,59.12
20,2223,SOLARAPP,E1,987,701,71.02
20,2224,SOLARINDS,EQ,25116,10982,43.73
20,2225,SOLEX,SM,9375,6250,66.67
20,2226,SOMANYCERA,EQ,7293,4609,63.20
20,2227,SOMICONVEY,EQ,121766,65143,53.50
20,2228,SONACOMS,EQ,453009,172091,37.99
20,2229,SONAMAC,ST,8000,7000,87.50
20,2230,SONATSOFTW,EQ,272422,127041,46.63
20,2231,SONUINFRA,ST,3000,3000,100.00
20,2232,SOTAC,SM,2400,2400,100.00
20,2233,SOTL,EQ,202974,35832,17.65
20,2234,SOUTHBANK,EQ,4964334,2280852,45.94
20,2235,SOUTHWEST,EQ,428350,199465,46.57
20,2236,SPAL,EQ,31674,12431,39.25
20,2237,SPANDANA,EQ,184777,88846,48.08
20,2238,SPARC,EQ,357044,175621,49.19
20,2239,SPCENET,EQ,3644381,1757981,48.24
20,2240,SPCL,ST,38400,29400,76.56
20,2241,SPECIALITY,EQ,41359,25637,61.99
20,2242,SPECTRUM,SM,2375,2125,89.47
20,2243,SPECTSTM,ST,7200,7200,100.00
20,2244,SPENCERS,EQ,167179,124979,74.76
20,2245,SPIC,EQ,489242,163280,33.37
20,2246,SPLIL,EQ,66809,29473,44.12
20,2247,SPLPETRO,EQ,56532,38029,67.27
20,2248,SPORTKING,EQ,113906,60220,52.87
20,2249,SPPPOLY,ST,14000,12000,85.71
20,2250,SREEL,EQ,7283,4135,56.78
20,2251,SRF,EQ,136970,80836,59.02
